BeachId,Region,Council,Site,Longitude,Latitude,Date,Enterococci (cfu/100ml)
93,Botany Bay,Bayside Council,Foreshores Beach,151.19803,-33.9574,08/11/2021,96
93,Botany Bay,Bayside Council,Foreshores Beach,151.19803,-33.9574,12/11/2021,0
93,Botany Bay,Bayside Council,Foreshores Beach,151.19803,-33.9574,12/01/2021,48
93,Botany Bay,Bayside Council,Foreshores Beach,151.19803,-33.9574,21/04/2021,5
93,Botany Bay,Bayside Council,Foreshores Beach,151.19803,-33.9574,04/11/2021,11
93,Botany Bay,Bayside Council,Foreshores Beach,151.19803,-33.9574,21/10/2021,22
93,Botany Bay,Bayside Council,Foreshores Beach,151.19803,-33.9574,13/12/2021,300
93,Botany Bay,Bayside Council,Foreshores Beach,151.19803,-33.9574,06/01/2021,140
93,Botany Bay,Bayside Council,Foreshores Beach,151.19803,-33.9574,12/10/2021,32
93,Botany Bay,Bayside Council,Foreshores Beach,151.19803,-33.9574,29/03/2021,62
93,Botany Bay,Bayside Council,Foreshores Beach,151.19803,-33.9574,07/06/2021,16
93,Botany Bay,Bayside Council,Foreshores Beach,151.19803,-33.9574,10/08/2021,190
93,Botany Bay,Bayside Council,Foreshores Beach,151.19803,-33.9574,22/12/2021,2
93,Botany Bay,Bayside Council,Foreshores Beach,151.19803,-33.9574,12/04/2021,42
93,Botany Bay,Bayside Council,Foreshores Beach,151.19803,-33.9574,04/05/2021,18
93,Botany Bay,Bayside Council,Foreshores Beach,151.19803,-33.9574,18/01/2021,36
93,Botany Bay,Bayside Council,Foreshores Beach,151.19803,-33.9574,01/12/2021,33
93,Botany Bay,Bayside Council,Foreshores Beach,151.19803,-33.9574,26/02/2021,74
93,Botany Bay,Bayside Council,Foreshores Beach,151.19803,-33.9574,17/12/2021,340
93,Botany Bay,Bayside Council,Foreshores Beach,151.19803,-33.9574,18/11/2021,13
93,Botany Bay,Bayside Council,Foreshores Beach,151.19803,-33.9574,24/11/2021,140
93,Botany Bay,Bayside Council,Foreshores Beach,151.19803,-33.9574,10/02/2021,7
93,Botany Bay,Bayside Council,Foreshores Beach,151.19803,-33.9574,22/02/2021,190
93,Botany Bay,Bayside Council,Foreshores Beach,151.19803,-33.9574,04/02/2021,72
93,Botany Bay,Bayside Council,Foreshores Beach,151.19803,-33.9574,22/03/2021,660
93,Botany Bay,Bayside Council,Foreshores Beach,151.19803,-33.9574,08/07/2021,18
93,Botany Bay,Bayside Council,Foreshores Beach,151.19803,-33.9574,07/12/2021,33
93,Botany Bay,Bayside Council,Foreshores Beach,151.19803,-33.9574,22/01/2021,4
94,Botany Bay,Bayside Council,Kyeemagh Baths,151.1644,-33.95268,08/07/2021,2
94,Botany Bay,Bayside Council,Kyeemagh Baths,151.1644,-33.95268,17/12/2021,58
94,Botany Bay,Bayside Council,Kyeemagh Baths,151.1644,-33.95268,06/01/2021,12
94,Botany Bay,Bayside Council,Kyeemagh Baths,151.1644,-33.95268,01/12/2021,23
94,Botany Bay,Bayside Council,Kyeemagh Baths,151.1644,-33.95268,18/01/2021,4
94,Botany Bay,Bayside Council,Kyeemagh Baths,151.1644,-33.95268,16/03/2021,10
94,Botany Bay,Bayside Council,Kyeemagh Baths,151.1644,-33.95268,22/02/2021,39
94,Botany Bay,Bayside Council,Kyeemagh Baths,151.1644,-33.95268,26/02/2021,25
